probe	GSM2696792	GSM2696793	GSM2696794	GSM2696795	GSM2696796	GSM2696797	GSM2696798	GSM2696799	GSM2696800	GSM2696801	GSM2696802	GSM2696803	GSM2696804	GSM2696805	GSM2696806	GSM2696807	GSM2696808	GSM2696809	GSM2696810	GSM2696811	GSM2696812	GSM2696813	GSM2696814	GSM2696815	GSM2696816	GSM2696817	GSM2696818	GSM2696819	GSM2696820	GSM2696821	GSM2696822	GSM2696823	GSM2696824	GSM2696825	GSM2696826	GSM2696827	GSM2696828	GSM2696829	GSM2696830	GSM2696831	GSM2696832	GSM2696833	GSM2696834	GSM2696835	GSM2696836	GSM2696837	GSM2696838	GSM2696839	GSM2696840	GSM2696841	GSM2696842	GSM2696843	GSM2696844	GSM2696845	GSM2696846	GSM2696847	GSM2696848	GSM2696849	GSM2696850	GSM2696851	GSM2696852	GSM2696853	GSM2696854	GSM2696855	GSM2696856	GSM2696857
1552277_a_at	8.685973	7.585422	8.021788	8.253514	7.635564	7.575407	8.489014	8.348411	7.516616	8.097434	8.193005	8.093264	8.802327	8.54317	8.54921	8.766006	8.057858	7.783985	7.747238	7.812193	8.080204	8.256218	7.767135	8.692526	8.482683	8.432014	7.911252	7.511528	8.172671	7.949085	7.975396	7.943798	8.771358	8.218552	8.190349	7.202599	7.984054	9.370802	8.05319	7.600283	7.803059	8.112831	8.381107	8.385787	8.793808	8.503133	9.350279	8.0399	8.469589	8.479837	8.111911	7.549959	7.389772	7.882818	7.659971	7.933574	9.247537	7.996873	9.732523	7.232042	8.010161	8.634464	8.234061	7.887196	7.987427	8.419965
1552278_a_at	5.616893	5.043571	4.647533	5.236207	5.714438	5.223605	5.486732	5.603113	5.631462	5.35727	5.761661	5.814425	5.299267	5.643113	5.674558	6.133694	5.391712	5.583485	6.465163	5.183232	5.057251	5.017863	5.17665	5.336564	4.948943	5.638748	5.451406	5.171719	5.068769	5.50957	5.709412	5.672196	5.506277	5.41975	4.774529	6.060765	5.031395	5.285429	6.581984	4.903434	5.425906	5.172463	5.672223	5.571571	5.668045	4.689531	5.5956	5.233835	5.246438	5.4345	6.384956	5.432768	5.400267	5.252789	5.434967	5.685748	5.103521	5.318237	5.276027	5.576212	5.49655	5.683336	5.467575	5.451612	5.513666	6.030968
1552279_a_at	6.31841	5.819746	5.761883	6.023784	5.964972	6.028445	6.71911	6.219594	6.450525	6.045726	6.559112	6.536067	5.812983	6.081077	6.156997	6.355077	6.086143	6.303335	7.517095	6.103772	5.836695	6.048973	6.051976	6.092008	5.782254	6.602689	6.294464	5.899351	6.070998	6.289093	6.027235	6.311776	6.008752	6.258121	5.999188	7.356302	6.000303	6.038456	7.628714	6.176454	6.369423	6.043297	6.056233	6.160515	6.090242	5.42894	6.418056	6.213605	5.841166	6.020894	6.813084	6.215662	6.119967	6.412422	6.231077	6.203056	5.87809	6.097968	6.448797	6.825427	5.828597	6.177027	6.189286	6.272351	6.267005	6.448722
1552280_at	3.518118	3.302685	3.442479	3.396761	3.369699	3.291979	3.320315	3.335129	3.458231	3.251506	2.933368	3.457153	3.08112	3.069485	2.809386	3.56511	3.414891	3.064197	3.239536	3.501768	3.382657	3.315322	3.425244	3.557467	3.510262	3.242893	3.929477	3.500479	3.07002	3.353853	3.686675	3.499546	3.870591	3.675692	3.491527	3.575118	3.394589	3.973592	3.334713	3.405862	3.483301	3.521939	3.213277	3.389987	3.115618	3.218064	3.322212	3.530707	3.192732	2.94787	3.590812	3.476043	3.161478	3.772326	3.457616	3.589017	3.242484	3.549237	3.258085	3.25325	3.53074	3.531878	3.29115	3.473128	3.55425	3.65731
1552281_at	6.568529	8.023712	7.756196	6.479929	7.387099	6.516557	7.300475	7.269149	6.545691	6.702895	6.590105	6.954131	6.884682	8.087963	7.34115	6.578144	7.43716	6.703624	7.940733	7.183108	8.374201	6.772047	6.584586	6.276513	7.176006	7.563152	6.849967	6.623095	6.694951	6.638211	7.164345	6.629532	6.483556	8.514728	6.564089	8.933045	6.25954	6.738423	7.604968	6.860783	7.394396	8.101404	7.082565	7.023631	7.31243	6.786112	6.38752	6.397253	6.967974	6.840043	8.466942	7.433012	6.434087	7.441442	7.677297	7.041627	6.918694	7.609501	6.707248	8.350594	7.575671	6.991504	7.135159	7.096101	7.615452	7.716867
1552283_s_at	3.691562	5.077667	7.471767	5.87099	5.177996	6.898599	6.787733	4.572894	5.617451	5.970042	4.674699	5.034507	4.891829	4.882185	4.571105	4.988172	5.200684	5.821102	4.683477	4.164173	7.359972	5.21449	7.360363	5.721413	5.832618	5.423726	5.87516	6.041081	6.548211	5.799785	5.538333	5.097338	5.33789	6.561735	5.549731	7.346885	5.256724	3.861624	5.39242	7.191967	5.234031	7.419588	5.270485	5.849616	5.986711	5.177015	5.297143	6.388354	5.904124	4.829361	4.905288	6.928391	8.494215	4.160405	5.663723	4.687761	4.835744	5.453953	3.925632	4.30685	6.298888	6.198707	4.291884	6.665417	6.018088	6.454022
1552286_at	5.515189	5.465263	6.604219	5.405803	5.80321	5.673669	6.036747	4.911919	5.46031	5.374367	5.825946	5.871035	5.140567	5.832413	5.268217	6.91072	5.149734	5.913222	5.615665	5.613785	5.656528	6.045849	6.515625	6.369904	7.050066	6.309939	5.818525	5.464361	6.496148	5.703855	5.923849	5.744732	6.893423	5.433945	5.636023	5.447688	5.632939	5.550319	5.204226	5.263807	5.627208	5.867891	6.140732	5.611316	6.624545	5.787513	6.35426	5.439524	6.500545	5.790643	5.246898	5.333036	5.523576	5.638204	5.413519	5.357884	5.386618	5.329512	5.640485	5.025458	6.584796	5.93032	5.806743	5.3594	6.20704	6.66447
1552287_s_at	6.724955	6.7117	6.650723	6.689713	5.515241	6.226823	5.727235	6.421772	6.207236	6.636394	6.07871	6.452057	6.79272	6.441562	6.917872	7.041341	6.521595	6.06259	6.019906	6.148273	6.515747	6.154139	5.680837	6.298866	7.126421	6.067226	6.094875	6.192718	6.253161	5.821398	5.908914	6.470076	7.143967	6.507031	6.406609	6.419874	6.297003	6.328506	5.780323	6.139565	5.987866	7.226363	6.429251	6.358026	7.113445	6.340312	5.942897	6.287797	6.810767	6.836008	6.942975	6.221566	6.433423	6.359142	6.002105	6.696202	6.529355	6.289123	5.979397	5.910777	5.806843	7.110304	7.229966	6.634211	6.321529	6.618192
1552288_at	3.263888	3.373789	3.545563	3.489713	3.221702	3.30002	3.543279	3.268032	3.414112	3.387134	3.466832	3.510479	3.263888	3.689488	3.418002	4.041255	3.526139	3.848621	3.547876	3.713645	3.351211	3.132077	3.397136	3.425877	3.140263	3.324106	3.252768	3.894252	3.580413	3.674765	3.64394	3.69017	6.107852	3.175842	3.332201	3.206377	3.302792	3.407705	3.45721	3.381013	3.642523	3.404341	3.397208	3.307462	3.363515	3.407379	3.728127	3.386537	3.283363	3.210958	3.89615	3.347531	3.805681	3.636114	3.624571	3.660867	3.714355	3.521377	3.423123	3.589197	3.294979	3.695483	3.200158	3.482002	3.339837	4.338511
1552289_a_at	4.497085	4.287182	4.283891	4.384943	4.152849	4.125725	4.770839	4.074835	4.230013	3.814538	3.835407	3.824576	3.853622	3.781844	3.952458	4.905499	4.293755	4.22473	4.62023	4.218595	4.289	4.286045	4.421872	4.558681	4.257488	4.72146	4.355167	3.745963	4.286263	4.228652	4.129955	4.309273	7.063835	4.114781	4.15105	4.362435	4.141055	4.385485	4.566445	4.112832	4.180566	4.209771	4.341251	4.226287	4.552246	4.354412	4.592112	4.261741	4.408322	3.915212	4.866196	3.897592	4.226129	4.416292	4.653872	3.988276	4.363948	3.964158	4.419545	4.169859	4.373749	4.301933	4.40062	4.503185	4.017645	5.33789
1552291_at	6.64176	8.995762	7.798652	7.32772	7.315026	7.236885	7.332052	7.357008	6.61564	6.927315	7.478414	6.891187	7.070749	7.335667	7.559035	7.314802	6.894999	6.058137	7.164331	7.030858	7.644299	7.397983	7.336735	7.900776	7.850804	7.713609	7.490241	7.250487	7.443414	6.359716	7.139822	7.25518	8.295948	7.816564	7.775845	7.332287	7.399346	7.080183	7.742675	7.281117	7.1893	8.021858	6.758395	7.159534	7.688749	6.601189	6.458218	7.073598	8.280169	7.43583	7.013863	6.315805	6.953276	6.7515	7.069683	6.941612	7.307582	6.903756	6.998113	7.08715	7.472282	6.912643	7.065671	6.847142	6.918006	7.601974
1552293_at	4.5099	4.695444	4.766421	4.579536	4.622871	4.338219	4.414543	4.445117	4.549738	4.534146	4.5802	4.316899	4.541392	4.527936	4.432673	4.773535	4.473146	4.895686	4.620031	4.293672	4.371156	4.489059	4.524088	4.529507	4.448318	4.600607	4.423576	4.665436	4.606977	4.511846	4.681981	4.354534	4.712297	4.264462	4.728916	4.77379	4.546176	4.209627	4.33137	4.386262	4.414334	4.661256	4.753645	4.548295	3.976959	4.714076	4.446845	4.596488	4.907471	4.680383	4.198795	4.643513	4.759582	4.806056	4.770339	4.348649	4.700562	4.567432	4.470367	4.497209	4.861554	4.50247	4.491274	4.374549	4.052541	4.418433
1552295_a_at	6.831375	6.434177	6.25739	6.444408	5.987944	6.17442	6.413538	6.540533	6.374629	5.991321	6.342994	5.897659	6.268031	6.484739	6.487618	7.223943	6.503279	6.516846	6.418912	6.154643	6.210705	6.126612	6.214451	6.471717	6.011285	6.409354	6.412162	5.501143	6.295783	6.210433	6.156288	6.639897	6.576511	6.331649	6.019283	6.429742	6.335063	6.805158	6.589253	6.432858	6.216118	6.44896	6.334966	6.33289	6.007047	6.239284	6.612964	6.545526	6.416915	6.24807	6.595127	6.481579	6.076129	6.198876	6.467468	6.4981	6.275874	6.207672	6.477569	6.366628	6.015593	6.622704	6.121472	6.46175	6.421171	6.691333
1552296_at	2.886312	3.555994	3.250538	3.242127	2.745796	3.204269	3.530571	3.425724	3.573391	3.028975	3.397161	3.268279	3.274438	3.418227	3.264295	3.261278	3.17561	3.372117	3.527236	3.000054	3.120691	3.439317	3.055895	3.152911	3.177389	2.961595	3.903027	3.140614	2.799297	3.024029	3.287664	3.258882	3.560993	2.895715	3.26277	3.097064	2.892349	2.810613	4.271635	3.34774	3.054983	3.473563	3.175607	3.105459	3.351129	3.28625	3.106128	3.452857	3.125302	3.189631	4.679115	3.317387	3.182246	3.334411	3.64106	3.180013	3.377501	3.287516	3.253457	4.27703	3.330665	3.357172	3.634779	3.214837	3.056809	4.1541
