symbol	GSM1523727	GSM1523728	GSM1523729	GSM1523744	GSM1523745	GSM1523746	GSM1523747	GSM1523748	GSM1523765	GSM1523768	GSM1523769	GSM1523770	GSM1523771	GSM1523772	GSM1523773	GSM1523774	GSM1523775	GSM1523776	GSM1523777	GSM1523778	GSM1523779	GSM1523780	GSM1523781	GSM1523782	GSM1523783	GSM1523784	GSM1523785	GSM1523786	GSM1523787	GSM1523788	GSM1523789	GSM1523790	GSM1523791	GSM1523792	GSM1523793	GSM1523794	GSM1523795	GSM1523796	GSM1523797	GSM1523798	GSM1523799	GSM1523800	GSM1523801	GSM1523802	GSM1523803	GSM1523804	GSM1523805	GSM1523806	GSM1523807	GSM1523808
RPL37	13.573117	13.599808	13.721284	13.669157	13.989603	13.74258	14.321556	14.060728	13.631352	13.690034	13.604563	13.94019	13.705422	13.64488	13.564807	13.597087	13.692818	13.690502	13.682797	13.81085	13.639688	13.689666	13.966323	13.603031	13.702596	13.705558	13.578852	13.740693	13.721006	13.602343	13.765586	13.408454	13.634473	13.669931	13.653183	13.808493	13.722214	13.601024	13.655023	13.662511	13.693887	13.666002	13.44107	13.802346	13.823365	13.600569	13.657031	13.796802	13.452918	13.542388
RPL13AP5	13.761185	13.74393	13.874465	13.793996	13.765446	14.085103	14.002588	13.881129	13.801141	13.659907	13.733769	13.953235	13.810149	13.742224	13.79259	13.693151	13.69514	13.446271	13.696646	13.847193	13.592319	13.765115	13.806789	13.921309	13.75551	13.682117	13.684969	13.708718	13.493847	13.713785	13.874989	13.460967	13.686821	13.83553	13.704118	13.512651	13.550975	13.725404	13.566523	13.684099	13.723122	13.764431	13.771958	13.746397	13.628661	13.65888	13.735354	13.799785	13.706519	13.812367
SNORA3A	13.628912	13.676794	13.668109	13.525696	13.456773	13.614295	13.412419	13.819586	13.685021	13.669625	13.700861	13.787086	13.792826	13.609357	13.745296	13.708531	13.72114	13.524683	13.839064	13.660001	13.630774	13.77346	13.762281	13.721911	13.715585	13.696816	13.58221	13.720695	13.880259	13.718286	13.582271	13.456937	13.708324	13.604685	13.611896	13.472093	13.642554	13.704375	13.408997	13.713923	13.651465	13.761513	13.774781	13.339279	13.683588	13.595779	13.711463	13.786381	13.50536	13.665832
RPS19	13.551118	13.781005	13.777421	13.654275	13.449251	14.100376	13.429619	13.649135	13.772131	13.595716	13.577995	14.003579	13.712577	13.689711	13.61623	13.424252	13.75531	13.556582	13.626594	13.862984	13.542412	13.754006	13.913244	13.836329	13.53095	13.584183	13.575029	13.58633	13.766682	13.583713	13.867628	13.580383	13.716831	13.865869	13.891129	13.409469	13.469608	13.595632	13.486514	13.646449	13.791381	13.930831	13.834032	13.527422	13.769776	13.507634	13.699228	13.563805	13.859294	13.794843
RPL30	13.758676	13.68931	13.758871	13.781477	13.688078	13.737879	13.724461	13.780113	13.793987	13.706515	13.672711	13.809218	13.732844	13.661844	13.645916	13.564667	13.732216	13.781162	13.808913	13.616949	13.655346	13.427068	13.42166	13.61144	13.654291	13.604796	13.620978	13.664439	13.809484	13.55126	13.676628	13.605213	13.527815	13.76445	13.464042	13.423706	13.884228	13.633197	13.775768	13.63256	13.813167	13.793308	13.518862	13.690658	13.945351	13.546565	13.568344	13.691431	13.642225	13.542794
LOC101060363	13.748143	13.585897	13.702481	14.063539	13.957083	13.322741	13.654112	13.600912	14.048488	13.843952	13.62426	13.385531	13.480748	13.640386	13.431341	13.105479	13.771346	13.605908	13.699885	13.766539	13.497259	13.979452	13.666706	13.942817	13.562972	13.57364	13.615018	13.55359	14.08196	13.57364	13.760411	13.558509	13.618308	13.562751	13.33209	13.939126	13.715934	13.674153	13.72745	13.488558	13.561115	13.632787	13.987041	13.664602	13.527916	13.521099	13.541293	13.316549	13.67242	13.6412
RPLP0	13.687308	13.735575	13.688233	13.717606	13.448937	13.664492	13.818602	13.71195	13.790135	13.731657	13.688466	13.681636	13.604621	13.731054	13.507835	13.539078	13.665232	13.555374	13.689246	13.662516	13.628925	13.739014	13.734496	13.746806	13.574086	13.616124	13.682869	13.560672	13.664478	13.584542	13.771402	13.30826	13.528121	13.830669	13.736094	13.650414	13.715278	13.548835	13.412266	13.480866	13.820127	13.806351	13.763905	13.370937	13.699756	13.56866	13.579749	13.785097	13.622532	13.625425
RPS24	13.940483	13.483232	13.664228	13.712128	13.657354	13.767918	13.854346	13.785995	13.561833	13.597505	13.669209	13.893734	13.764964	13.612537	13.641391	13.568244	13.686747	13.588225	13.782994	13.687907	13.60218	13.594127	13.761458	13.694351	13.645475	13.626424	13.583957	13.646842	13.607383	13.545011	13.928436	13.29217	13.551134	13.798472	13.535572	13.41243	13.600328	13.545453	13.684678	13.486004	13.691822	13.760445	13.402091	13.508904	13.515346	13.559358	13.514052	13.49422	13.882294	13.512681
SNORD24	13.784197	13.673005	13.720978	13.650338	13.57133	13.507099	13.718242	13.59559	13.646569	13.59728	13.673856	13.773528	13.681241	13.780256	13.635461	13.593585	13.581364	13.713257	13.938907	13.568343	13.862032	13.787726	13.830355	13.731173	13.531846	13.609727	13.579224	13.584764	13.539127	13.628766	14.158553	13.220774	13.538667	13.822757	13.689447	13.07034	14.040656	13.508206	13.629416	13.56816	13.549771	13.721855	13.49583	13.575579	13.506195	13.502343	13.606257	13.538438	13.630394	13.522069
RPLP1	13.538526	13.596778	13.56027	13.26652	13.365936	13.648869	13.217206	13.429297	13.59964	13.604557	13.547209	13.364426	13.640223	13.635846	13.644427	13.613533	13.600612	13.306195	13.641138	13.652117	13.552896	13.474868	13.800569	13.613477	13.538056	13.514085	13.504848	13.511014	13.672864	13.600324	13.679183	13.2668	13.519496	13.727198	13.671715	13.727233	13.671253	13.608924	13.365669	13.640272	13.73889	13.686386	13.609265	13.418855	13.691773	13.433378	13.609612	13.769419	13.458443	13.541742
